,nearest_grassland
129,2983.5933478211964
130,2921.5497816630245
131,1866.0047887504923
132,1894.568175450751
133,4884.207301082417
134,1362.959652882287
135,2058.668166002072
136,2496.6082551963195
137,2182.313198943451
138,1572.9146536066742
139,2436.1429752032973
140,2892.6370467390857
141,2321.952745053426
142,412.69208561907436
143,780.2278772194585
144,2004.5550041067115
145,1729.567849867267
146,1659.5048402429293
147,2799.5318373043206
148,2164.4722226501767
149,1734.6194475108896
150,2129.8752963264506
151,854.0944557580063
152,2882.731986514467
153,710.0143722866751
154,2284.282852576278
155,1287.3647728346896
156,1411.0140219438426
157,1592.121903111801
158,1591.8782721919135
159,1591.8782721919135
160,3642.8023648111835
161,1463.742747637292
162,1016.4690543978297
163,1421.9143465738791
164,1867.3715128078318
165,4677.954368627719
166,617.745050683101
167,3299.3264342447874
168,691.704147843027
169,2581.003435604386
170,3734.0007006257756
171,2011.475312038278
172,1243.8738982827479
173,2471.5706224754167
174,1961.1761540268005
175,2654.900318165206
176,476.1328896759882
177,754.6976344522998
178,2472.068135776102
179,427.3087744138698
180,420.8286621741688
181,3085.9312147097894
182,1705.3696918452554
183,2079.8049464999704
184,1637.5297225639194
185,3356.7619832451114
186,3645.7057459735843
187,2111.7666042487263
188,1254.8835029093173
189,1858.8007643890173
190,530.9408763613174
191,1847.0307900906098
192,1990.0899936580697
193,2839.8131884377617
194,1525.6056502944498
195,4056.8329553034487
196,3141.80366720261
197,2706.747308473083
198,2312.22701964347
199,648.4727678515392
200,1328.4701027276742
201,2156.4986331451382
202,2016.3089250412588
203,2157.069226342916
204,5853.848398286047
205,2551.9978017669278
206,1187.8041590205023
207,3042.3758667908887
208,2902.8810338821513
209,2345.9654947130475
210,1631.5271320569275
211,2555.737943903994
212,1858.8007643890173
213,2412.6471112590966
214,1932.5046450381237
215,2108.6830928003596
216,786.8643288923139
217,1326.6445610648818
218,1828.2270775733732
219,723.7249652170846
220,2488.936676647378
221,1192.563464006994
222,1529.390989988784
223,4586.9898107703
224,4145.521417417035
225,2870.7695390009135
226,1587.9727963386892
227,4189.058175601922
228,1868.052420808474
229,1981.0156491411415
230,1030.9586277740243
231,2904.0483773953533
232,1934.0954566687376
233,122.94960372152458
234,1069.737395854876
235,1701.8107748514142
236,488.1992415508094
237,2612.147930431111
238,2215.404146789502
239,3067.737139808724
240,2262.064240989881
241,2262.064240989881
242,2343.474548467414
243,1925.4944053508727
244,2424.0179051408522
245,1650.8800254168875
246,2885.3390618889853
247,4532.549093050845
248,569.52887442402
249,1458.7451038998051
250,2126.0254008291004
251,1909.6906619939869
252,1489.3984993280517
253,2164.014687928473
254,2666.3780406954666
255,234.7496215862798
256,998.0728903811839
257,1810.726899251151
258,973.3907412498494
259,3270.7467488194975
260,1418.635395468831
261,414.178653371394
262,1879.0520236217733
263,1271.7345424631674
264,669.1082034136026
265,1165.6695821263097
266,913.9779185190068
267,2008.0007571993647
268,3241.755381549603
269,1325.7223077950152
270,392.86181992794536
271,1968.1852359909237
272,981.4477475855398
273,1428.4998263034347
274,2788.740636052769
275,2930.4477094513086
276,1261.8742096264252
277,1984.9019581213747
278,1987.6786530153315
279,1076.3845310710337
