,nearest_river
169,7736.226681685658
170,2037.4599491298686
171,240.30278164055215
172,1052.275517353301
173,2713.9263274179616
174,1974.4401726053443
175,5544.691145964171
176,2550.3174066303745
177,5289.317391778448
178,3176.9137209939304
179,33.207931445018694
180,1354.2665306198078
181,435.8607727451868
182,2109.636008134731
183,1546.7930203124552
184,3701.6769221130185
185,608.5186351402588
186,1871.2384384507004
187,4381.938742412945
188,1581.893850238558
189,6769.739198374991
190,2306.6762380206983
191,91.01637238584883
192,1328.6907508726465
193,796.6551359292117
194,2503.000692583652
195,58.719831909423014
196,819.7878407272406
197,1878.2212739572144
198,2285.180807126729
199,1333.9441117148542
200,978.0770734448948
201,884.0999861287283
202,9220.899569652196
203,3124.6390738618543
204,9011.432541318454
205,991.9805890870764
206,21.610939768437763
207,37.724883768976255
208,1352.36946123604
209,2200.4333664260707
210,4555.940214481989
211,1519.7136131933999
212,6769.739198374991
213,11.02111436842146
214,2563.2615340160414
215,753.2225586409613
216,1.4529180521162457
217,2684.8745845889907
218,4054.7164390385838
219,27.954139746864147
220,3794.568217065269
221,2111.1643575620237
222,1739.9921318233985
223,318.01157953955925
224,948.8510330820777
225,923.9320114215509
226,1140.55407993713
227,586.2470970974882
228,672.8366226604592
229,1270.9521659594484
230,2698.2022765090824
231,1352.772454045808
232,1464.8105720649735
233,4459.163935489177
234,2700.1409858755474
235,1606.3879253093469
236,1231.7589567956059
237,5895.248377059747
238,3133.2788652750833
239,982.4713982936055
240,456.3279058678651
241,456.3279058678651
242,3331.9528869125133
243,5569.889800114321
244,2433.634664098109
245,3717.195276518617
246,1979.2914361100402
247,219.9787261087796
248,3738.2856535737715
249,5791.880409438176
250,3617.5281492596814
251,639.0577629561177
252,5069.398719392621
253,541.6465140860427
254,7766.875214997514
255,1100.6991234507443
256,3958.396559158459
257,5129.939096413406
258,1311.824416195185
259,367.46685651954056
260,1007.4886535885222
261,1067.938728333847
262,3563.8339091604685
263,5414.054030014592
264,1338.030464063345
265,2641.1940199735573
266,1069.4141530634502
