,nearest_farmyard
630,3637.1872927404665
631,2865.558225975087
632,2928.399686975998
633,7975.067897959523
634,992.6678779493247
635,675.335000202773
636,1846.182742086173
637,5058.834223093021
638,1653.0764460037979
639,1835.7843491345236
640,1789.8574474334976
641,1975.7416083126536
642,6414.274592027375
643,1526.680864945463
644,1591.283189711091
645,1487.7426514874658
646,2978.829215871769
647,350.7107472482465
648,2140.593812147914
649,27.739066117240007
650,1030.2644553802932
651,3474.302980249814
652,2457.7873475964107
653,2534.6296144322237
654,4101.955819840066
655,2727.334981252677
656,944.8338603236059
657,4388.471186107343
658,2807.342325136979
659,1752.8863566616335
660,2434.4131127106316
661,627.2555581498497
662,2318.479404974057
663,4183.953660165142
664,2240.587506142844
665,938.8294782344485
666,1268.1567257708552
667,1070.0262352697239
668,2601.887171401824
669,2599.9009972125373
670,2547.667502839932
671,2066.0587405900174
672,1140.7303334237172
673,2916.505106890582
674,2109.22370462941
675,2423.140991194735
676,2075.5881065012422
677,8085.344613441327
678,2747.2354681590555
679,1635.2724180591122
680,1859.4092913546317
681,2802.584112410566
682,3101.1283473754593
683,4459.257833908472
684,1958.0413125427965
685,3747.1156230500687
686,1958.4271586835678
687,1977.5145013632393
688,4123.350314750136
689,2193.2209221154535
690,6133.881472570865
691,2280.6432286096956
692,1684.0783852133334
693,3757.8516723163793
694,1399.556938619248
695,4880.107841191141
696,3596.304617652967
697,1357.8470395251697
698,1051.5898244760685
699,4198.583165948558
700,4094.667531216917
701,1869.5174345499586
702,3178.24359191526
703,1830.046912458837
704,1035.5476719947148
705,4015.274287814293
706,3139.3212469431955
707,2254.846095533027
708,1493.622648146297
709,970.5443892802332
710,2340.0152410991404
711,1115.7296631467123
712,2437.8174513370786
713,1766.1255419068955
714,809.4047179874036
715,948.1638034903253
716,2205.519612248361
717,2247.4808745231135
718,1856.5667087319712
719,2146.546408798153
720,867.4443016531466
721,2832.6211941196634
722,7558.6017371701755
723,1700.570493963839
724,1318.5900827240368
725,3884.4182837682783
726,8457.028820673291
727,861.72959593106
728,2788.95625361466
729,3762.430008566856
730,648.8266246460547
731,2089.6180656339507
732,1667.5039511878208
733,1736.9673800782637
734,4414.425350225317
735,4510.2687633036685
736,845.5565185696372
737,5085.51569933141
738,5419.661779227115
739,4187.001642306243
740,2667.04203898631
741,3144.989172655293
742,1708.9620443552392
743,6345.325114744398
744,5673.48701268799
745,748.0240277110393
746,3100.011106849479
747,7716.465474171011
748,3325.506496866438
749,1350.4188134810759
750,1523.8371050284209
751,914.8317451389621
752,2398.877710280282
753,2991.91404014061
754,3812.6286391734993
755,3593.5456818980465
756,680.1298358473825
757,2460.2351015786617
758,2945.9919137871507
759,4381.488214172762
760,3492.4033087537628
761,1920.4491114364405
762,2770.1410543119987
763,1944.516928320625
764,3688.791331843665
765,4450.760890289053
766,1733.3640546328475
767,2804.803929516013
768,4258.252785495099
769,2741.01998932269
770,4258.252785495099
771,469.9434492948859
772,427.2116363515332
773,1858.7869944985569
774,4027.7771919421566
775,1096.5290596110603
776,6293.0499770858105
777,2758.538038159706
778,2664.4676816519864
779,2747.908391988832
780,2970.332850035342
781,1456.2140928024448
782,7699.998406610006
783,2217.6301573820424
784,1254.6229947892568
785,374.9877091307511
786,2870.493082548564
787,1336.9101104539266
788,271.2555811017676
789,2112.2117142020998
790,3164.1764604904038
791,842.0237615792558
792,3320.1886153824557
793,3709.837004950229
794,3731.7263857772873
795,2988.393277285081
796,2769.6674760093897
797,7233.904785267346
798,4351.110274299613
799,3687.629362214489
800,768.8167414572736
801,266.50691896747276
802,2508.085148376597
803,2525.5949049926326
804,1474.7148755381436
805,2508.085148376597
806,3170.6043331473084
807,1194.3925402829284
808,862.027655178518
809,1843.1606837278327
810,1540.3636420332818
811,3280.273742846996
812,3006.4411605773153
813,2164.3765101185977
814,2348.7986973337875
815,652.0967459689908
816,5975.584510846085
817,2714.9402895064213
818,998.0650292328835
819,2651.245551313447
820,5450.803518912676
821,604.4696870111098
822,1556.1143862060928
823,1570.9186386403594
824,2747.917221507021
825,2029.4738602372433
826,3440.485312447129
827,2029.4738602372433
828,4096.574317306858
829,827.2176109195675
830,1459.5747313413278
831,5438.3777584466
832,1238.9554244734475
833,4202.201126655453
834,1221.6555380769187
