,nearest_wetland
1865,0.0
1866,2292.0471952334333
1867,2345.2989385126234
1868,1177.5529535685623
1869,4410.067575384035
1870,5231.74564525994
1871,462.94967168098896
1872,8947.514856110873
1873,567.0233962881912
1874,1559.0434485381245
1875,2049.704135260883
1876,808.0741440224526
1877,1974.8304919437228
1878,1992.559242042836
1879,4190.993380947111
1880,1602.107698534964
1881,3543.5088975531526
1882,919.3509927072173
1883,3573.871528473592
1884,2020.0719873486412
1885,233.07780989959574
1886,953.0931676691221
1887,3635.843142832624
1888,1239.8493542354033
1889,4595.211267360282
1890,1606.4177760859625
1891,907.436630608118
1892,541.1789904882776
1893,3277.4642111227417
1894,3725.113517038461
1895,3553.7724106897817
1896,3553.7724106897817
1897,1473.5455288030237
1898,2455.518052800376
1899,8148.387304677942
1900,4179.513330131359
1901,1830.5134187716492
1902,1205.718826508535
1903,325.323719984186
1904,3081.58863164425
1905,963.6499366762708
1906,626.80529935615
1907,5452.629946064779
1908,5125.950266813295
1909,1357.1385100109364
1910,1779.4785454336702
1911,823.9019998495078
1912,3079.105207000493
1913,3166.5587735743516
1914,5517.180878949808
1915,2264.3897993327814
1916,1057.9479040351998
1917,5807.005631660898
1918,5195.3362443893075
1919,1438.0430026009346
1920,1176.058419890539
1921,3556.1338150658294
1922,3354.078032781015
1923,4335.819462808406
1924,149.44528292837705
1925,2158.3379095413034
1926,1145.4957278070958
1927,1387.6751049146774
1928,2959.4389244747294
1929,2339.064784542745
1930,6396.320106809578
1931,4532.886753236538
1932,2810.240806616145
1933,1332.7216328142076
1934,2251.2443076236705
1935,5456.130499586984
1936,1393.8958234738043
1937,1641.925232559067
1938,3423.567769262945
1939,7333.059865510463
1940,2447.958145183455
1941,539.5286812065547
1942,5368.4030059809475
1943,2458.8304916894995
1944,6161.565242177082
1945,1100.6970475568323
1946,1803.4315893127887
1947,1801.722888890364
1948,1188.6831139946555
1949,1847.6985815108544
1950,1592.6565954423381
1951,7166.248766592542
1952,1771.1574677955366
1953,3652.452284675762
1954,1497.155264056722
1955,2534.3678325492656
1956,3293.3492407780127
1957,2109.0994237014147
1958,4779.571356908055
1959,3107.7108738708894
1960,2895.66937620357
1961,2030.3905241582813
1962,3144.1812643908393
1963,161.40128323471043
1964,699.6259190804864
1965,624.3210132853224
1966,1817.2053078593358
1967,2329.17529685903
1968,1901.5325571990973
1969,5382.134352704949
1970,4837.058450238643
1971,2399.0037710581128
1972,7584.391738751332
1973,3206.163829302218
1974,7377.635963351291
1975,432.51203169411735
1976,1893.5186098462793
1977,4589.235719343608
1978,2481.029061709846
1979,90.25508202668102
1980,1558.549072061162
1981,5314.865502029928
1982,8478.429429534723
1983,5580.355052359592
1984,6439.768314877334
1985,2249.90329032592
1986,6585.276646301616
1987,2058.7046344553764
1988,1256.766333053008
1989,2457.7217576192893
1990,9458.639083413262
1991,5521.5952732793385
1992,4839.080609771967
1993,2941.073119347253
1994,8445.53309218033
1995,2737.7913760613797
1996,862.9096082191205
1997,7831.744784764006
1998,1736.4040087791766
1999,4002.0979393923885
2000,1904.9961422582412
2001,1089.314266792681
2002,3333.273518070101
2003,1602.024691305075
2004,2382.5309737444136
2005,824.4283977278416
2006,2991.605397708473
2007,320.5627315159521
2008,1814.7080093317338
2009,3074.8078090024014
2010,4314.950213080195
2011,1343.880095704634
2012,4066.6429805920006
2013,1823.6582623680995
2014,743.7896600610582
2015,1792.8571633876154
2016,1035.9231443467684
2017,1355.5959285223025
2018,1885.2827053416834
2019,1606.951946226565
2020,1634.3401939096516
2021,969.9458407889498
2022,2436.0468325877546
2023,2959.2600855383635
2024,2354.6276258545313
2025,3908.7704430478834
2026,2020.5142925173297
2027,2366.762465252593
2028,6283.077398058741
2029,6352.79074976499
2030,1425.2877316780725
2031,2217.5400867497706
2032,417.583866910081
2033,8714.761153209298
2034,3208.3809373242825
2035,4694.976810823329
2036,1839.2625542733124
2037,2582.43666009849
2038,1817.5341034757996
2039,1457.6432108116985
2040,740.7911665680522
2041,495.7458764139475
2042,1636.1793902838103
2043,142.28674705587017
2044,1014.9396169287286
2045,497.9399428967329
2046,1832.1605488080484
2047,2440.9037274536295
2048,299.89180522539885
2049,2556.1760784531293
2050,300.0434235620002
2051,1985.6084065618445
2052,5095.111233793967
2053,1865.2990965779227
2054,3789.4660518459746
2055,589.7615835935459
2056,1615.5184406179233
2057,2486.724572339934
2058,252.1913792558353
2059,7346.856670219149
2060,4982.78579949866
2061,586.9714429964721
2062,715.6973928528816
2063,3139.8280178835726
2064,2388.541130731972
2065,901.687720875725
2066,3572.5526543590145
2067,874.9331347653928
2068,162.3912831150288
2069,3538.163490600004
2070,414.83528799486714
2071,1097.6980521531696
2072,2399.391569177644
2073,291.60155255462365
2074,2183.431591114885
2075,2359.5204207261913
2076,7620.410669281111
2077,3384.4638086006935
2078,2397.661026906903
2079,7607.657422663989
2080,5360.371980035198
2081,2023.0384436042589
2082,1301.853329302751
2083,911.9170382839983
2084,4539.325769826708
2085,503.2171360089439
2086,7658.235242390354
2087,1114.6576911302568
2088,969.794191253302
2089,771.7074497830599
2090,1427.1729754638338
2091,2699.77340502033
2092,913.3733195087007
2093,4302.212781160101
2094,1995.010350218256
2095,111.1216367783271
2096,3242.3664886728275
2097,711.6644330629111
2098,2514.5685135131066
2099,4011.5304214194134
2100,679.9751008737791
2101,3792.211599599944
2102,9148.842514146185
2103,10631.286368468953
2104,3105.197734315065
2105,427.0149756201164
2106,4557.696608963257
2107,1688.6585142035674
2108,720.6797963178651
2109,2032.7415840157726
2110,1671.823588722089
2111,2059.661432625785
2112,6174.835976756283
2113,1782.0487220500884
2114,1422.876966266648
2115,1798.0619249102112
2116,1271.1618202690502
2117,1494.178791123058
2118,457.03923084543214
2119,2357.0375129149757
2120,51.858769576561365
2121,1536.0914004969673
2122,593.6013113476472
2123,2041.1945113509387
2124,2031.2692542086338
2125,5713.486531883593
2126,1999.847564888371
2127,750.9533994541147
2128,2354.6017298604916
2129,699.1350016140631
2130,1591.0116485279057
2131,3857.280305395545
2132,6718.555970903755
2133,2179.5200154910926
2134,2374.143287665685
2135,911.6316760168595
2136,2244.44982140443
2137,2325.4099171357784
2138,2123.115227746222
2139,2117.4690545530143
2140,5246.320428263485
2141,3634.1254391577313
2142,1284.594750664736
2143,5725.055985129408
2144,2340.653760510425
2145,2165.509788928578
2146,1354.1260630011
2147,2697.960574415244
2148,1443.9856805742186
2149,1644.6188173998262
2150,1443.9856805742186
2151,4606.874048474221
2152,1000.0995680479011
2153,2345.224344348044
2154,2178.893512789709
2155,2300.048719147098
2156,3107.35937134316
2157,2439.0855744423416
2158,1105.6403206691405
2159,3286.8872242502857
2160,5540.672226496012
2161,1720.2329703317923
2162,2789.19485443018
2163,3139.1028950241625
2164,7220.897744475199
2165,3209.634031788105
2166,740.6252961472543
2167,2542.932920573646
2168,1392.2465449993094
2169,5524.97875760777
2170,284.15256360565985
2171,1596.2196915573286
2172,3439.7489337022503
2173,1298.1931836092988
2174,1007.9576807396224
2175,1378.4928470635084
2176,1329.0641323659875
2177,60.64810522787135
2178,2296.252360862104
2179,1418.342550462135
2180,1572.455740321082
2181,1289.828275876582
2182,2591.1235001022337
2183,1479.3513821339882
2184,824.0507088356866
2185,645.9646058867255
2186,2591.1235001022337
2187,1934.198415420288
2188,2261.20447095043
2189,5159.4296973845685
2190,2042.9801151828372
2191,2038.8829822067673
2192,120.0502111278735
2193,1359.1734939862881
2194,1740.9554188919353
2195,1839.8977323941683
2196,3208.1546652670095
2197,537.5794298466208
2198,5725.055985129408
2199,2125.7017959723917
2200,3007.305624197293
2201,3332.343484814671
2202,1593.9157447091097
2203,3208.1546652670095
2204,3378.4524803952813
2205,2178.362518598593
2206,2115.4417168496625
2207,3337.9489387572003
2208,5382.000031056138
2209,2063.0870009702403
2210,2481.046027780545
2211,7093.384686994817
2212,4090.089481294066
2213,6757.021021935282
2214,1285.0961917758368
2215,1011.0415793185721
2216,1176.852702219746
2217,2856.073303840417
2218,504.9700527585191
2219,1303.4228001160227
2220,6722.675556787678
2221,1789.7916729553222
2222,3309.5286734430647
2223,1379.3373211989147
2224,1618.9482470762562
2225,2304.66459224244
2226,1637.5814910678714
2227,720.2761173696032
2228,1493.7085722594445
2229,1966.2304026985205
2230,2079.8338803776987
2231,5803.750456546955
2232,8985.348013954857
2233,617.2458172422126
2234,4483.934942279217
2235,0.0
2236,2623.571565848169
2237,1875.4539350562657
2238,1404.3902233624751
2239,518.1521532205378
2240,277.911115824979
2241,303.9076369107545
2242,1439.5303960324172
2243,759.1706391949601
2244,1418.9472947504805
2245,777.2970191055435
2246,6508.713203732271
2247,1637.3565187761205
2248,955.23176203209
2249,1028.1599105782184
2250,7817.752226096301
2251,534.6291676637479
2252,2157.7963572759118
2253,1601.56382687785
2254,3466.6327637170493
2255,1620.5216584679788
2256,3855.13797031173
2257,66.71659768597306
2258,1960.8601493191618
2259,552.6555475033799
2260,1754.7307204447184
2261,351.6104000151409
2262,1177.1554779549494
2263,2246.0703482462177
2264,3632.096618575416
2265,2376.286602835693
2266,3306.9366317995828
2267,1078.5640411147988
2268,1745.6523595220315
2269,1738.3281452227677
2270,516.5264882232937
2271,2419.152718260183
2272,1957.9763205447396
2273,1662.6868037283607
2274,827.265732950377
2275,9.080513172528999
2276,4512.005910196474
2277,7685.521543077043
2278,2853.5137590706895
2279,4896.068228628416
2280,7424.080308362452
2281,2054.4338263714253
2282,695.2458428099568
2283,363.34438833896706
2284,8055.464820039244
2285,439.3647591673582
2286,4603.048340748259
2287,2555.1968446919286
2288,601.1042789707333
2289,1351.5085443639439
2290,749.8130545424002
2291,233.05796681297502
2292,4660.738518578919
2293,2660.2728742947866
2294,5372.161291792637
2295,438.46553257653255
2296,6853.432100759188
2297,1932.1920446830402
2298,3416.556071250527
2299,3964.7996976099266
2300,1822.2315044623185
2301,3416.556071250527
2302,2527.9456905423594
2303,1098.8009184665775
2304,5063.998208245763
2305,1279.4683475607198
2306,1279.4683475607198
2307,6796.533253066127
2308,3305.424260734829
2309,1452.5419449463297
2310,947.244243259569
2311,2001.6791737680192
2312,1269.6783062057277
2313,6551.809188868238
2314,555.1762008309479
2315,1173.7119398908228
2316,5863.944594346612
2317,2228.08891261257
2318,6538.568486873998
2319,1734.8679008838683
2320,2345.4401490716405
2321,2903.5432184600345
2322,1257.0212301902204
2323,2321.2035263618313
2324,1743.7954604223685
2325,4046.33900638826
2326,555.1762008309479
2327,6882.433388838498
2328,4328.178319822414
2329,4316.67069820638
2330,1193.6945565074388
2331,1588.571794189597
2332,2814.826804256139
2333,2144.8703679060495
2334,4237.617866582832
2335,2685.205098751164
2336,5098.326095862824
2337,2794.5972929681866
2338,1193.6945565074388
2339,2168.865271186019
2340,2410.8278376031694
2341,3336.019242429882
2342,2801.2182799644775
2343,1905.3565302143836
2344,3785.6754980647365
2345,4910.354737920868
2346,3043.0993962343055
2347,2623.0767218178876
2348,1914.405795565659
2349,2193.484714812877
2350,2239.5350208289556
2351,3193.2973296572413
2352,1744.9382049367548
2353,1784.258027821173
2354,3436.352570703077
2355,4271.592649184619
2356,1786.6349105706774
2357,7063.426375374304
2358,2172.030811985931
2359,1201.1413534359385
2360,2033.6162037409551
2361,6593.1260500817925
2362,2080.316949585288
2363,3048.505668572707
2364,3209.082170496101
2365,1347.186432773124
2366,1847.754397484185
2367,2012.210274588074
2368,7268.479830058423
2369,3200.7692833985257
2370,727.8897280967382
2371,4258.710387763805
2372,2839.069221981768
2373,1706.1190614696181
2374,1744.9382049367548
2375,2480.4966525798473
2376,1364.3244037861798
2377,4553.538833243072
2378,1480.2699203471063
2379,1744.9382049367548
2380,1469.374165500676
2381,1744.9382049367548
2382,1896.3019179279868
2383,3648.9954076555023
2384,1664.5944660467087
2385,6070.145452874939
2386,2329.7609094489226
2387,1934.0055745566403
2388,5528.130798937061
2389,1131.5086018753773
2390,3.8076013082365874
2391,1078.5712709541358
2392,1913.1543107345049
2393,3477.149982651758
2394,5726.108991848462
2395,1632.295402130935
2396,3707.464678406721
2397,1071.6672559796084
2398,1681.7097659428123
2399,240.32868624979952
2400,3272.481836350637
2401,1329.714278416754
2402,201.80721522994244
2403,894.9527693242702
2404,2158.0874934212998
2405,3647.4337588775084
2406,1220.728616692144
2407,663.1044900662671
2408,7166.181695267446
2409,2051.7281543991057
2410,8688.618206895855
2411,2134.4432300651747
2412,4215.622768139448
2413,1020.4211076219195
2414,2069.8645947378577
2415,1020.9709741037245
2416,5927.263513237172
2417,1340.305971724784
2418,2647.691114219525
2419,2618.792553261957
2420,7359.657353843522
2421,5579.720943237662
2422,2050.3966143160596
2423,3024.289731372579
2424,3768.707474359153
2425,1342.3750287170903
2426,458.7367936626993
2427,2449.576395053061
2428,1367.7099438396176
2429,2297.262681685925
2430,1776.1546155325689
2431,542.6926322963336
2432,2701.235245791449
2433,877.8604935389145
2434,2444.167482531932
2435,1659.5183950790345
2436,374.3888513978529
2437,413.3809246457585
2438,2721.558962471338
2439,152.66801128723068
2440,2857.0594755187394
2441,1056.662984672435
2442,497.1849590828332
2443,2264.2848033412283
2444,8858.06798512183
2445,4558.171547392774
2446,1425.7241316224354
2447,3712.4592110678022
2448,2030.470535966274
2449,3994.573967106456
2450,4455.9296839783365
2451,2706.5617079330254
2452,953.6273715827281
2453,3905.6937676444445
2454,786.939763226692
2455,1629.7270012853378
2456,1814.729588380947
2457,967.1023859977217
