,nearest_industrial
481,103.39796765176338
482,825.5925044930334
483,699.7191456608879
484,2200.569208415233
485,923.5751472828132
486,684.6521736924691
487,1159.1355526234167
488,395.45826208982135
489,285.30595803587397
490,591.316270634823
491,413.0813623377474
492,335.81969775179664
493,85.69858180021549
494,379.5234673672905
495,0.0
496,788.9709670442447
497,610.6582501410207
498,1442.6911701860136
499,962.3558800172004
500,151.13881353861728
501,869.341820938629
502,990.3553891500679
503,1023.2575040797752
504,84.16580119674673
505,391.43367278283125
506,404.16288462270995
507,1124.6882908253806
508,799.9119311653707
509,1342.2662286667844
510,832.267488689807
511,512.4211485754403
512,703.3423694914062
513,240.5318700251374
514,464.99649585680004
515,238.48969656752135
516,586.0378383551923
517,304.31271543428903
518,1689.2506234793527
519,840.3285967254035
520,476.20104091339795
521,973.0824313614359
522,882.6458651743395
523,159.05416304523922
524,582.23105423721
525,393.17525941306246
526,551.3342763741729
527,45.90118445434852
528,1472.2202733351307
529,273.1124460041121
530,706.3085906402259
531,923.027351222754
532,234.2823216622843
533,544.1594376000302
534,455.1761427595396
535,289.93154529756794
536,684.9149554595031
537,215.2037248276082
538,375.8352182360027
539,875.6249116723839
540,0.0
541,1403.4987162977268
542,904.9338132799884
543,1545.4746489133888
544,1041.963618187072
545,875.3153197062187
546,602.5819939434471
547,220.45164047622868
548,2182.712648101756
549,503.42586318389885
550,256.2948561411484
551,292.38544133810865
552,166.58851107210955
553,769.6755002180568
554,366.23271256005904
555,1298.2683675524063
556,308.50716913341364
557,382.37302441379
558,851.7920935971048
559,883.2577815121698
560,1905.5481715778951
561,1131.1550810299243
562,57.314737152021884
563,219.7206413462356
564,458.8642397425447
565,478.812619899332
566,1103.634399691211
567,192.55870293366823
568,192.55870293366823
569,580.317257211168
570,107.74032703456493
571,640.7741002116918
572,1404.153047774992
573,848.8815476376545
574,62.90215728660443
575,41.936713462410694
576,1257.268230621618
577,98.53588942246196
578,1107.4173586300742
579,699.7440997411657
580,610.1546972151888
