,nearest_lake
129,2215.157829544657
130,1891.0476870299829
131,4859.155233054205
132,1499.8962068063086
133,3585.495894200317
134,2097.1195389306613
135,2773.6170030550966
136,9173.320055593771
137,1123.3705540180938
138,3226.2616748158043
139,2912.7841774255826
140,2734.3308310279367
141,4842.2780172843495
142,2322.8899535233995
143,3239.143118605749
144,3396.990239950436
145,604.7196209390169
146,2953.1109786350476
147,1817.7697538923048
148,2844.96072044212
149,3878.7425158890383
150,704.3525725022308
151,1468.5725283743702
152,4885.617971302939
153,4746.378234161265
154,471.9646907553029
155,3677.066077083669
156,1439.3341299030262
157,7435.790074827378
158,1669.7355612402198
159,1669.7355612402198
160,1180.8183563639873
161,936.7083799778064
162,1874.7667889626323
163,342.8255437373675
164,2263.8065767439457
165,799.1424306215381
166,2255.711208618233
167,4612.366903368017
168,1812.9562778902493
169,2465.0708968454096
170,4097.63890242893
171,1729.787316832881
172,674.4638634156516
173,2903.632403015625
174,857.2742408284935
175,2470.2045780172066
176,3313.0875693531657
177,1520.4798293100935
178,2509.4154825219166
179,971.5170424350996
180,395.29512547869996
181,1570.9793900340126
182,6686.218981955027
183,854.0293033653422
184,444.43686225014966
185,1887.695459259262
186,1199.2529893034302
187,2040.837439958852
188,3604.389571258672
189,1632.137357571035
190,901.3498229400066
191,2490.7315330274732
192,1480.8024318232044
193,1273.2787495353493
194,2017.1246718584641
195,406.3601539923893
196,1855.835825224912
197,1414.0876312063112
198,376.66175089722316
199,750.3267991521963
200,340.0231999556395
201,4592.236374584835
202,5190.7686774478
203,1862.7337722168381
204,6045.0276695767125
205,3629.041845947578
206,2680.356933727935
207,2457.488228004442
208,2045.0548264261658
209,2026.8385771970306
210,2578.481921009279
211,3827.376899929277
212,1632.137357571035
213,240.08358269415183
214,4466.332301295772
215,2034.208696148804
216,702.4524548189501
217,1584.8454745890758
218,1957.4069543369126
219,819.7745654201026
220,5105.2961972328585
221,1523.3885723521519
222,1139.2449928460107
223,3008.7278112832455
224,6132.7628309091115
225,1575.916292949289
226,1022.3669295405981
227,1671.7859763624501
228,2608.2991714783825
229,1399.158016147673
230,1282.6426741374912
231,2032.4172369723176
232,2813.6898014549147
233,1065.2904246484911
234,1305.3197398591158
235,2417.597955178124
236,749.770565783958
237,2667.674181867115
238,5072.1527438316
239,2066.7716675578836
240,542.8952524132402
241,542.8952524132402
242,5601.920353225887
243,4856.112184802084
244,2388.4235014087412
245,439.60017870406733
246,2739.6412506909996
247,1687.6748590659313
248,3144.7354625241596
249,5245.0643714672315
250,3190.0302547744914
251,4461.513470402883
252,581.5307542388307
253,2219.9243467852475
254,10856.010817863138
255,2040.4684336349435
256,803.9439660241715
257,3158.1205926499674
258,3874.3973277051696
259,599.7701548333508
260,1765.0075327726681
261,3221.882685317225
262,1594.044982573548
263,1665.7734190957626
264,744.9823002852804
265,1991.564994706427
266,1209.8098266641477
267,3104.013781881574
268,4979.499538423438
269,3215.193402979844
270,581.1745511198676
271,1233.1702421829464
272,1138.9608736988957
273,3647.1444515029198
274,3210.2691283453396
275,8064.653166501255
276,1920.679401669593
277,3497.479188890129
278,8797.952622668856
279,1866.7664948719605
280,1275.1635884616655
281,4793.304006632104
282,904.7954400005505
283,4750.7315892789065
284,4464.821187902663
285,2638.7642180023013
286,1174.1273033502591
287,1492.521728263742
288,1173.411034407295
289,1570.7847181895233
290,4371.383147333999
291,1247.687499770623
292,4621.676332244959
293,1624.149582494107
294,2159.0667585023007
295,5051.1185837144285
296,1704.3533759713025
297,1768.6812768064467
298,1357.264556619869
299,989.789688386329
300,1998.8725113669
301,1886.0719423188525
302,2858.447898318575
303,1065.6991126676683
304,3081.8169655083643
305,7711.332498655647
306,5592.953583694042
307,2700.4019660375857
308,648.7819373300198
309,2099.8831374434494
310,2446.5830905758717
311,922.6828784074354
312,5305.421252297641
313,1328.5130335378628
314,1170.1106042355843
315,9548.334847164724
316,2037.9180196579139
317,4468.2439297611345
318,801.2897892616097
319,2176.4983564618133
320,2062.4045966837966
