,nearest_water
140,403.95757891470157
141,618.6709582885253
142,403.89765987082933
143,344.96059611447225
144,5.543340574001534
145,365.78357968606326
146,724.1430501042719
147,961.091720889839
148,545.8549170787229
149,801.1478636835491
150,187.35929171531888
151,997.5294701687344
152,239.02910013357732
153,1283.1387322782728
154,290.79239102212614
155,865.8706905848873
156,1032.9771129889086
157,951.8008636029905
158,263.50694820607407
159,263.50694820607407
160,296.989971006361
161,693.2003789914102
162,108.76005014856433
163,8.430247101092194
164,621.5288668412259
165,100.61303832827318
166,147.67845765092912
167,473.3390345435091
168,756.279832415306
169,1185.913006393134
170,216.97733346622644
171,140.00672696184589
172,674.4638634156516
173,359.8929925834797
174,650.387701097973
175,802.188810196947
176,507.4918314230277
177,1408.0678204367464
178,264.71994004912875
179,33.207931445018694
180,18.55722631232708
181,435.8607727451868
182,544.160603136599
183,854.0293033653422
184,195.1463365441054
185,64.12058840887474
186,275.13757291055884
187,573.139670635727
188,1034.724618961528
189,591.0216636137677
190,373.93163434083846
191,91.01637238584883
192,833.9521051364836
193,171.89555093179166
194,909.7988768017931
195,58.719831909423014
196,177.12979120730253
197,1227.0196344353765
198,376.66175089722316
199,328.6890462442961
200,39.86958825666283
201,884.0999861287283
202,1317.15204775187
203,1381.7398131724449
204,1922.0357097310323
205,461.33794864905286
206,21.610939768437763
207,9.47574197573177
208,690.655410602308
209,1786.5907813507936
210,1031.2572511048013
211,501.60132084910157
212,591.0216636137677
213,11.02111436842146
214,625.1284734555699
215,431.83789242170974
216,1.4529180521162457
217,324.59515297506607
218,497.78147066567584
219,27.954139746864147
220,167.1214417147593
221,558.3409852706211
222,199.7296959307309
223,318.01157953955925
224,191.76008122846838
225,923.9320114215509
226,1022.3669295405981
227,348.005643956089
228,106.04966594065235
229,922.2331712783166
230,782.4700532269254
231,693.9737314816199
232,322.75995415257546
233,693.1188297793317
234,742.8350496410129
235,276.0569186249609
236,749.770565783958
237,1084.8144117624297
238,1687.942987416288
239,859.8289988763794
240,456.3279058678651
241,456.3279058678651
242,223.26763944438
243,662.8003848473467
244,503.46872413928816
245,189.48758599777807
246,806.1901311899982
247,186.37062825916016
248,293.06750752032065
249,1059.2679988073244
250,375.9566537958896
251,639.0577629561177
252,581.5307542388307
253,253.08010654174896
254,1529.075436989614
255,290.79494000324223
256,554.8002598510571
257,822.5372083451173
258,1254.980376827757
259,367.46685651954056
260,727.6069547277399
261,1067.938728333847
262,679.3373322352693
263,596.7091654904375
264,381.8155307615754
265,555.4310473952515
266,1069.4141530634502
267,932.6457232236197
268,997.4377833569554
