,nearest_meadow
262,5180.957710871506
263,2739.8108291936514
264,2075.1376523642634
265,2869.2812395553574
266,2664.7758296986567
267,3122.0203231605183
268,1813.6486155990592
269,2988.565218566689
270,4723.122976385794
271,1834.02427718093
272,407.6215099606992
273,2614.590875818508
274,672.4162324309543
275,1627.8545509388641
276,1307.4776073905555
277,1371.6177811135813
278,660.8050456944227
279,382.57083315423966
280,2260.403153969024
281,2181.128936697703
282,4413.749348188951
283,693.5085799973235
284,1902.8288833632828
285,444.50690290575085
286,1089.7836883684083
287,1890.6219181700808
288,2495.82867812757
289,148.8816936583402
290,3952.7338608316645
291,604.3527309431165
292,2150.5709507796023
293,2099.1353810100245
294,1860.1439237337233
295,327.19035614066576
296,4442.035414959046
297,1173.7857479696966
298,171.6988462772182
299,3805.449881736857
300,3457.335947683235
301,89.76205336255026
302,358.2948079130625
303,772.6971616491415
304,1413.4731111730055
305,1653.8214847696838
306,1351.997252165429
307,751.6291147228612
308,1261.130277860375
309,1105.1056466897583
310,63.15328154871467
311,2754.852330738409
312,2001.1816840037209
313,4003.5721740426884
314,2528.3217517680982
315,1045.6598194789863
316,802.1979853383746
317,1546.1372167578525
318,624.2889051529328
319,972.3762809423546
320,1003.5238411255821
321,15.181870036521047
322,488.06278039716904
323,582.5002107628499
324,2390.199707502595
325,1666.9881714362543
326,938.3551808835575
327,1723.361184879438
328,28.47362991700062
329,3140.177463468881
330,1957.0213982757862
331,594.1060387449014
332,818.8683246530484
333,2710.132550446849
334,446.8119949449453
335,1361.1327266467797
336,2812.9802269890747
337,1246.5566273117972
338,1567.4083920991516
339,1200.011247127786
340,1451.4526978668757
341,2597.440166826544
342,642.1762736741675
343,2142.6133416113485
344,605.4208395657436
345,2328.2747614993664
346,2806.2480102434633
347,1855.7842845931511
348,3328.0116904806337
349,1895.6748220581517
350,1440.821209281553
351,1679.343743143958
352,1629.1445010521988
353,1823.6488715632586
354,693.5085799973235
355,2929.956802929038
356,83.30797279941073
357,235.09008069270106
358,523.6490019102586
359,1248.383939334595
360,2327.5976538812884
361,665.9076370496448
362,665.9076370496448
363,2577.0588079749996
364,713.0415104094507
365,985.1021496965052
366,441.4187062790791
367,804.7380040297858
368,3718.871487869143
369,1288.0062940818123
370,3412.3121525053425
371,892.1136825078025
372,4089.8975459114163
373,1649.9372426543102
374,1571.7933451967858
