,nearest_commercial
258,528.9149668525649
259,363.1482969694554
260,535.4420433630511
261,735.2123503606613
262,626.5829444051129
263,1435.748068036573
264,1393.4541878539926
265,7.830254319073582
266,576.1163518768534
267,307.88866750698463
268,568.126710259489
269,760.4401197478503
270,688.3708410477947
271,658.6952809593691
272,82.4731657067067
273,1515.5214870497523
274,1591.0285635696407
275,261.3336181871796
276,593.9559172167276
277,1187.649668532606
278,319.65664259332897
279,578.6812861712492
280,668.3655288008439
281,773.5202478790244
282,98.45461835287712
283,1997.468765399732
284,302.6551154142956
285,928.4806722471795
286,1758.2813676017129
287,56.34193210060081
288,1819.6076171847346
289,1095.919107398679
290,378.6598291419719
291,1018.0117089060916
292,735.2638344621528
293,0.0
294,1069.480568928108
295,834.52488766165
296,682.5148714996404
297,442.90302533004325
298,1739.1470726963698
299,422.052006711601
300,835.2171938433519
301,2157.601605302408
302,596.7441196037278
303,688.4495674857967
304,1327.0757752103134
305,673.461594579645
306,258.3144334798429
307,723.7575620641057
308,228.64887628591498
309,114.63312825413689
310,1029.382617453574
311,706.3412154543654
312,586.0825156706097
313,1297.9648509511971
314,1874.8828126564354
315,3732.076496626632
316,322.55795016453266
317,950.0221465206026
318,861.6412103537899
319,211.3486465068577
320,1040.9750359911652
321,239.64490769516294
322,1085.932515169666
323,474.3588703364077
324,143.67803595216617
325,70.18629483390265
326,640.2394970277619
327,155.66127618394768
328,708.6293132325274
329,39.18627285449711
330,1576.5213763283411
331,524.9709531858672
332,401.9944402275752
333,1111.4808050512947
334,486.0021585477837
335,1491.6301386953849
336,1479.938181366372
337,2274.189285585171
338,570.2734509585528
339,922.8238019664692
340,1341.984303668961
341,1263.210267001724
342,1334.9914104409095
343,134.2523009629439
344,618.3776253473811
345,61.3399747521242
346,614.1452372221969
347,123.16120853013504
348,490.2690428389156
349,361.31200512079334
350,953.8721643765862
351,1413.946201357653
352,351.67737975627705
353,21.118856458646565
354,1997.468765399732
355,829.6672855685274
356,1822.7181330575318
357,575.5121177724454
358,2055.6311380193183
359,170.76626205149844
360,340.98767122916684
361,596.8013819342254
362,596.8013819342254
363,110.26625563203312
364,206.3772159112957
365,361.6456875627908
366,652.019734538465
367,420.1786228232506
368,391.730955735125
369,329.1484653567304
370,153.26598382704543
371,2651.2210545409866
372,869.5494112306634
373,99.41207181750461
374,1001.5822722293664
375,282.01299616216096
376,1017.3649089343719
377,2937.0606036361373
378,123.18359293279735
379,1231.115728045838
380,507.47541199792823
381,1553.980397947841
382,244.40042983194536
383,207.0237898486914
384,1183.4458989361935
385,507.25450175821464
386,54.15788058898766
387,230.43005163487663
388,97.95874915712115
389,352.11176975164005
390,344.82380269136445
391,897.9318998278668
392,1430.4279192470772
393,133.98110825820584
394,405.47069505201915
395,473.0158633920991
396,224.59757608269078
397,111.22707264948095
398,669.0928373455246
399,1424.4648018471505
400,421.84021188392853
401,2280.67380324646
402,457.637449702238
403,426.0840999725598
404,417.4887170426791
405,183.9457453512293
406,1331.6008060206102
407,209.46435043613664
408,919.2305949052452
409,2710.597008924852
410,191.0567462569467
411,60.4472325569523
412,118.52622038742204
413,2699.2200957378277
414,1322.4538485393628
415,374.28601329005846
416,619.4520455917383
417,46.752996645560195
418,142.94091739346266
419,333.3591388482589
420,236.57378475210814
421,1123.8898759845322
422,923.4475748894089
423,118.45546833569128
424,1730.1733400278788
425,2511.916167623599
426,841.7262458587115
427,4743.50124938124
428,93.91976829225713
429,84.40555977441394
430,1108.0753926145096
431,366.3776999159395
432,2100.8995465180496
433,1599.5989252619818
434,240.21610788451073
435,262.80177098198965
436,795.5797933912969
437,936.1094931903156
438,1343.5004401027043
439,1979.8047827289251
440,339.681287740552
441,88.74385999579482
