,nearest_wood
472,230.1916335073587
473,299.0723459843737
474,166.77318773820303
475,38.791583932440346
476,206.79003167975694
477,123.73275549729773
478,624.7974980171041
479,929.4770236914314
480,471.14722485100566
481,513.4689770597696
482,1268.4977532310602
483,231.78364773048375
484,175.91981576649263
485,1221.0032529884108
486,509.8465574412621
487,468.6553024007007
488,915.0144565722483
489,471.162571518794
490,87.14238606249131
491,767.6838150917349
492,34.86335482054503
493,859.164428685759
494,395.5147357464559
495,541.9862071096962
496,214.72306521885324
497,1202.4775840353698
498,212.26861193738878
499,321.65310255608796
500,215.2176785820009
501,72.40761112921795
502,516.9040731044612
503,231.64199690762553
504,393.6058736929952
505,941.4245311119747
506,1700.800626218055
507,39.15948135073607
508,679.7957171439604
509,151.63832949233935
510,794.8174580338932
511,101.35226136083948
512,124.03082635281848
513,529.5475006719096
514,511.67836312271805
515,361.0805655393882
516,1144.964998095396
517,886.9692851096502
518,79.35424593669323
519,164.9679864769488
520,180.48764225374418
521,55.926406501727904
522,591.0352610357207
523,358.6913265296219
524,293.42063178670594
525,112.3581718738368
526,621.8279653273654
527,87.05950561939717
528,151.99714562565134
529,195.91386077331435
530,597.2686822509762
531,603.8717849062475
532,733.2896964217183
533,1647.5795726176182
534,612.3706911159231
535,107.04758427019297
536,478.779799336259
537,303.2244409147051
538,1050.7807830034392
539,94.85514279522863
540,334.79900688602226
541,449.3648331040124
542,604.1894731292923
543,368.82073200480335
544,451.5393503641671
545,267.4446867123868
546,321.44891451220053
547,469.517678319434
548,160.2743154451997
549,456.13895158359253
550,35.55356579878212
551,3.4637176922735096
552,125.32505092590796
553,374.27139702252657
554,838.5364665900728
555,156.4760947034928
556,34.14284341175201
557,294.2301575526106
558,296.664302830888
559,587.990751167581
560,133.13121739597287
561,141.9095872951123
562,349.29013942245126
563,308.8052665430382
564,432.97250385535375
565,926.8736734525123
566,399.8241439998411
567,1223.7617438341977
568,1223.7617438341977
569,292.1431009943724
570,526.5955768893444
571,301.7254405777901
572,2.9150139503181096
573,129.83962237323271
574,0.0
575,491.9542756948265
576,195.14880191619582
577,35.39699881739471
578,583.2434498013447
579,341.0448535777485
580,372.6752540005247
581,497.38730625106956
582,41.74132732846598
583,67.31781749589672
584,19.38352499192672
585,12.881197939226904
586,213.16000687380833
587,34.14284341175201
588,297.7575389395818
589,0.0
