,nearest_farmland
394,3250.4235344925823
395,3274.332586953869
396,4051.320208223248
397,5114.316663528425
398,1404.4279155876588
399,4383.9428782136165
400,2233.9928822557767
401,340.4507322073218
402,5793.5139650408855
403,6514.736596195598
404,4085.204787860854
405,7048.257752711984
406,813.2882828449515
407,2810.387053751629
408,683.2953581263786
409,3418.2303515655935
410,4571.573630575126
411,2656.7801935346597
412,7989.250694476673
413,831.3452379503734
414,3017.9476001809353
415,4087.6726258946564
416,2744.241116832769
417,6734.765017889985
418,6679.942688513386
419,307.24302467899366
420,3949.546364813785
421,2723.230837834878
422,1858.6825562748593
423,9461.544662969083
424,4197.549320568856
425,2135.338802651468
426,2932.6943680442937
427,24.267973729545922
428,5626.056622664871
429,1122.8791527838653
430,1617.4348033590484
431,6197.593625367848
432,1979.5059666112072
433,2014.5392275399208
434,866.6363960644112
435,2952.7883609521978
436,5347.508085474835
437,2544.6040664171287
438,797.7191263538422
439,3619.0538277404826
440,4020.1082898009613
441,3743.16887461094
442,170.17130128919098
443,4948.32521089557
444,0.0
445,6206.2754045653855
446,1420.429285124043
447,624.4736169627806
448,6711.298915527257
449,559.669937247614
450,2177.231090571227
451,2994.9205615649125
452,7878.568368187008
453,4743.027056742776
454,6524.561425359794
455,2985.862365898776
456,1247.3942708240004
457,2470.2792651976906
458,1140.6320754089106
459,5031.350899333681
460,4319.954360231087
461,1694.9606934029068
462,2152.0965913773057
463,7064.835419909795
464,8408.961232994563
465,3884.0520486188902
466,8408.961232994563
467,1279.177216116469
468,9587.096901698591
469,2916.625934288476
470,5848.6903949074585
471,9587.096901698591
472,1064.6751522020502
473,988.3362154627314
474,193.38333533037388
475,132.83730811946867
476,56.884562246189894
477,929.3267574812935
478,8563.810933970124
479,2156.183334591658
480,2620.172136100994
481,4524.764625092162
482,5438.693216902115
483,5222.005586217247
484,1923.4891451530814
485,1246.8889748496615
486,345.46036654221035
487,4679.268106584562
488,7297.0598258647815
489,55.40201030482099
490,1951.1591316999154
491,1392.5541372051937
492,222.17083649638647
493,1646.8069776191464
494,6337.430998015263
495,6733.001303224191
496,1221.8754804111456
497,1022.7399823220294
498,1013.1766618778751
499,5142.2957955475085
500,5832.617800881758
501,1350.881595169398
502,968.0534185276475
503,240.7565871966156
504,3011.3094140321186
505,4395.811042009231
506,855.0164949973977
507,8123.092097177602
508,1583.0381546099884
509,6784.419580563428
510,5307.263671368725
511,7402.705844357917
512,3757.314583006967
513,2396.030488149499
514,3984.661350532953
515,1397.4246114625628
516,658.4329264298788
517,1408.3274906876695
518,1020.5962338113064
519,5820.070674619196
520,1755.053105418342
521,186.03642048110518
522,1153.2098212219491
523,369.52669427841573
524,4963.652421183991
525,5213.310114219293
526,3187.549373399865
527,2012.0874792085099
528,4238.152671489815
529,7986.239509429768
530,7068.283998060574
531,1170.2013942972817
532,6304.821138078875
533,2376.569947486668
534,1801.6581317781122
535,175.39174243846807
536,1269.2556066745096
537,1007.1478047873418
538,3488.325380599381
539,4530.017838976578
540,5199.067879580838
541,263.02120751380505
542,1168.6195149847456
543,578.6451178291288
544,3178.3428915048808
545,1043.6695066425111
546,4791.561472634744
547,3811.2844986224127
548,5868.471786551247
549,1931.759384929301
550,161.18539953962116
551,7097.236742257694
552,3528.947220815347
