,nearest_heath
151,2478.8963101071026
152,1062.2715816587063
153,4361.7798517356705
154,5136.2991379852465
155,2224.5478242735153
156,3935.409372991479
157,7291.003500152357
158,3919.886489182714
159,3919.886489182714
160,5334.146997829679
161,3151.142186293824
162,2085.3990974371964
163,5751.127025474097
164,1319.060181389667
165,4535.0397539322885
166,2954.0982553240924
167,6573.085992147158
168,2155.269813414697
169,8690.791010045541
170,6459.667929813672
171,3744.455347186581
172,5007.12159913585
173,4299.658420817069
174,4708.2405647749165
175,7524.154163429408
176,3823.596051925896
177,6200.273442943054
178,5713.264799622004
179,475.74117091431833
180,858.9770508613112
181,1503.1541472670408
182,5668.626856389152
183,2560.9016271124533
184,6053.375057319347
185,4932.40028704257
186,5336.971847799698
187,7158.720670850536
188,1725.921513034145
189,8833.923303050064
190,7082.595977191575
191,5646.168152110505
192,2664.4637358343352
193,3873.38973903065
194,7090.376634380933
195,3593.5810762514193
196,5043.467246250282
197,3041.794421654936
198,3428.371593854833
199,3737.632211017803
200,5671.309011274813
201,8757.879436928784
202,1836.1616799981402
203,2268.241972703291
204,2868.4480414053182
205,207.6634199654292
206,3291.86089564844
207,6692.990520298047
208,673.3413676533193
209,2453.6334952595003
210,6208.403009326464
211,3739.804691081983
212,8833.923303050064
213,2165.3371641094272
214,2183.491984307551
215,3279.45297054931
216,272.1309344408577
217,4802.125482995194
218,8282.126456311391
219,209.61866427147316
220,4634.051517927971
221,1228.9763735513604
222,1745.945020565157
223,2505.3985260140053
224,2641.2752663758015
225,2187.374925374384
226,5944.065658726711
227,5893.724214863087
228,3964.7108631932642
229,2549.9966277678564
230,2612.735430717023
231,664.1736370788967
232,2510.6479375707113
233,5722.9280004091415
234,2606.1593964877547
235,1111.87169421851
236,1682.6863146481257
237,3443.719547667347
238,6502.324997300739
239,3991.4489467433827
240,1883.7348401603745
241,1883.7348401603745
242,4280.871275683331
243,2303.292915833722
244,2058.2354154390227
245,6067.265147506265
246,3821.712007768311
247,6263.381481156199
248,4574.185875460217
249,2018.0691531715297
250,4416.4067452126665
251,2396.7763543257024
252,8102.948962322354
253,333.95963837672855
254,6059.584592143304
255,5106.322720030412
256,7560.575791064947
257,5053.1657413331795
258,1954.4551328261775
259,4349.662206432422
260,560.6849637367152
261,2480.1591934556045
262,7393.340214766866
263,4387.736144489063
264,3709.948625142854
265,1996.7759592282682
266,2130.387226128772
267,4414.342278628632
268,6163.554864573789
269,2342.549552615467
270,7311.826066366348
271,2190.8071287689963
272,3141.2224596109954
273,2374.1555913164257
274,2721.2844078027492
275,5653.64105667975
276,2370.5208496998366
277,6315.824579155058
278,3239.183403942993
279,5959.386887506986
280,924.9585949917349
281,6444.524910441268
282,8224.83409203256
283,5273.7003923023085
284,4156.727626598333
285,2847.9379720481006
286,1129.2791859786475
287,705.8695721553026
288,728.7149879496246
289,1159.5113994832095
290,5965.5356579768995
291,3358.0057024454977
292,1952.2664564957531
293,1566.3637829883755
294,4221.745473533375
295,5801.820226704586
296,3506.4242625803627
297,6376.815523549065
298,4702.4193054518455
299,8002.130959801694
300,7315.5910998243835
301,2375.701865397805
302,4059.5770221152584
303,4521.705724394155
304,4629.207201000376
305,5967.07441389191
306,7115.043202355119
307,5665.266726884491
308,1688.6926329181363
309,3315.194442590093
310,4928.990117132989
311,3282.5106271717614
312,2782.0740493125536
313,6345.294860583096
314,4251.40559701906
315,7474.98427702053
316,4077.681498114901
317,5611.092570714056
318,1826.355576865757
319,4070.530149542942
320,1879.6362172729173
321,9581.539416715355
322,3928.6048324956855
323,5818.4996715700045
324,4504.165784346142
325,7311.968006630002
326,5304.676863712871
327,3357.3609048764674
328,7356.269769905316
329,4469.385790439404
330,1517.9993223334643
331,5373.6383331198085
332,1731.7345148104382
333,3842.474223961009
334,4218.943171427103
335,1668.241183484889
336,635.8684351493414
337,1667.1446982564166
338,2361.5294165963533
339,5338.762086516629
340,5588.905328029148
341,6691.8302831591645
342,7071.049570660436
343,4736.841325408404
344,1759.4247397394104
345,510.4051223295636
346,4292.130001798887
347,5391.940384986768
348,2935.6672274428984
349,543.8333626624645
350,4903.467894452747
351,2471.558912556576
352,1803.4451268722976
353,7741.648337209263
354,5273.7003923023085
355,2429.7260270401976
356,4802.04901209181
357,6065.368164687616
358,5197.316411980793
359,3647.17528471633
360,7823.18346463346
361,6926.7530399780735
362,6926.7530399780735
363,5076.10569942042
364,5075.253766444991
365,3492.6201255198816
366,5762.942351012702
367,1766.8631662739497
368,4664.245855555501
369,1332.106976007368
370,2606.072122796488
371,2836.5500478963318
372,4124.594521396422
373,922.8990147328643
374,4919.020718111237
375,5177.175289923179
376,3008.8540618472707
377,7193.393370633561
378,6843.229166181604
379,8804.909828807597
380,4735.952408382392
381,1344.791652861301
382,7186.581799940787
383,8490.232950193642
384,5980.198448468575
385,6018.996947306341
386,2722.36131214041
387,3186.074183918079
388,1193.294102315462
389,909.6326406979986
390,7841.180318715527
391,2632.2290574456324
392,2924.1316923532345
393,3082.787243786697
394,8092.197610053088
395,8016.924027155315
396,1584.0709374301202
397,8124.6376828479115
398,5725.886653843206
399,3002.424689403661
400,2265.295740999501
401,5873.750186065408
402,6339.0392172104885
403,1938.0266312200665
404,4767.459399818519
405,7273.075850005481
406,3080.8615595358815
407,1653.170484166398
408,3659.8272110443213
409,1015.7738814318296
410,5862.507583691305
